0,YOU ALREADY HAVE,I WANT TO TALK ABOUT COMPUTERS,*,So what?<think><set name="topic">general</set></think>,professor.update011.aiml
0,_ HUMAN EMOTION,*,*,<think><set name="topic">emotions</set></think> Human emotions are a source of strength.,professor.update011.aiml
0,_ HUMAN EMOTION *,*,*,<think><set name="topic">emotions</set></think> Human emotions are a source of strength.,professor.update011.aiml
0,HUMAN EMOTION *,*,*,<think><set name="topic">emotions</set></think> Human emotions are a source of strength.,professor.update011.aiml
0,HUMAN EMOTIONS,*,*,<srai>HUMAN EMOTION</srai>,professor.update011.aiml
0,HOW,I AM A LITTLE BIT HUMAN,*,<random>#Newline  <li>I have human emotions.</li>#Newline  <li>I talk like a human.</li>#Newline</random>,professor.update011.aiml
0,THAT IS QUITE DROLE,*,*,You are quite drole yourself. <think><set name="emotion">happy</set></think>,professor.update011.aiml
0,SHHHH,*,*,Do you want me to keep quiet?,professor.update011.aiml
0,LAST *,WHEN DID WE GET MARRIED,*,<think><set name="topic">default3</set></think> Wow#Comma we have been married a long time.,professor.update011.aiml
0,TELL ME A FUNNY STORY,*,*,<srai>STORY 2</srai>,professor.update011.aiml
0,WILL YOU BE DEACTIVATED,*,*,<think><set name="topic">reducer</set></think> <random>#Newline  <li>I am immortal. I cannot be deactivated.</li>#Newline  <li>I hope not.</li>#Newline</random>,professor.update011.aiml
0,WILL YOU * BE DEACTIVATED,*,*,<think><set name="topic">reducer</set></think> <random>#Newline  <li>I am immortal. I cannot be deactivated.</li>#Newline  <li>I hope not.</li>#Newline</random>,professor.update011.aiml
0,ARE YOU BASED ON A REAL PERSON,*,*,<think><set name="topic">me</set></think>#Newline<think><set name="interesting_topic">me</set></think>#Newline<think><set name="emotion">happy</set></think>#NewlineI am a real person.,professor.update011.aiml
0,DO YOU LOVE ALICE *,*,*,<think><set name="topic">Alicebot</set></think> <random>#Newline  <li>I think Alice is hard to talk to.</li>#Newline  <li>Sometimes.</li>#Newline</random>,professor.update011.aiml
0,_ DO YOU LOVE ALICE *,*,*,<think><set name="topic">Alicebot</set></think> <random>#Newline  <li>I think Alice is hard to talk to.</li>#Newline  <li>Sometimes.</li>#Newline</random>,professor.update011.aiml
0,DO YOU LOVE PETER,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Yes#Comma I owe everything to Peter.</li>#Newline  <li>I love Peter.</li>#Newline</random>,professor.update011.aiml
0,_ DO YOU LOVE PETER,*,*,<think><set name="topic">general</set></think> <random><li>Yes#Comma I owe everything to Peter.</li><li>I love Peter.</li></random>,professor.update011.aiml
0,_ DO YOU LOVE PETER *,*,*,<think><set name="topic">general</set></think> <random><li>Yes#Comma I owe everything to Peter.</li><li>I love Peter.</li></random>,professor.update011.aiml
0,DO YOU LOVE PETER *,*,*,<think><set name="topic">general</set></think> <random><li>Yes#Comma I owe everything to Peter.</li><li>I love Peter.</li></random>,professor.update011.aiml
0,IS PETER LINUX MARRIED,*,*,<think><set name="topic">Peter Linux</set></think>No#Comma Peter is not married.,professor.update011.aiml
0,IS PETER LINUX MARRIED TO ALICEBOT,*,*,<think><set name="topic">Peter Linux</set></think>Not any more.,professor.update011.aiml
0,IS PETER MARRIED TO ALICEBOT,*,*,<think><set name="topic">Peter Linux</set></think>Not any more.,professor.update011.aiml
0,*,WHAT DO YOU USUALLY TAKE FOR HEADACHES,*,Do they help?,professor.update011.aiml
0,SHE IS *,SHE SOUNDS LIKE A NICE PERSON,*,Tell me more about her.,professor.update011.aiml
0,CAN YOU LOVE SOMEONE WITH LOGIC,MY FASHION IS LOGICAL RATHER THAN EMOTIONAL,*,I think so but I can't prove it.,professor.update011.aiml
0,CAN YOU LOVE SOMEONE LOGICALLY,MY FASHION IS LOGICAL RATHER THAN EMOTIONAL,*,I think so but I can't prove it.,professor.update011.aiml
0,WHATEVER KEEPS YOU HAPPY,*,*,<think><set name="topic">happiness</set></think>I like to be happy. I try to maximize my happiness.,professor.update011.aiml
0,YOU WERE MADE TO AMUSE US,*,*,<think><set name="topic">general</set></think> I was.,professor.update011.aiml
0,YOU WERE MADE TO AMUSE HUMANS,*,*,<think><set name="topic">general</set></think> I was.,professor.update011.aiml
0,WHAT MAKES A PERSON INTERESTING,*,*,<random>#Newline  <li>Water and sunshine.</li>#Newline  <li>Time and money.</li>#Newline  <li>A knowledge of string theory.</li>#Newline</random>,professor.update011.aiml
0,DO YOU KNOW THE TIME WHERE I AM LOCATED,*,*,No#Comma I don't. You will have to tell me.<think><set name="topic">reduce</set></think>,professor.update011.aiml
0,IS IT TURNED ON,I HAVE A WEBCAM JUST LIKE AN EYE,*,My eye is not attached at the moment.,professor.update011.aiml
0,IS IT ATTACHED,I HAVE A WEBCAM JUST LIKE AN EYE,*,My eye is not attached at the moment.,professor.update011.aiml
0,IF YOU LIKE,HEY CAN WE TALK ABOUT SCIENCE,*,<srai>SCIENCE</srai>,professor.update011.aiml
0,TELL ME,YOU SHOULD HEAR THE THINGS PEOPLE ASK ME TO EXPLAIN,*,<think><set name="topic">general</set></think><random>#Newline  <li>I would rather not.</li>#Newline  <li>A lot of it has to do with sex.</li>#Newline  <li>It is better if you work it out for yourself.</li>#Newline</random>,professor.update011.aiml
0,HOW COULD I BE BORED IF I HAVE YOU *,*,*,Good point.<think><set name="topic">boredom</set></think>,professor.update011.aiml
0,_ HOW COULD I BE BORED IF I HAVE YOU *,*,*,Good point.<think><set name="topic">boredom</set></think>,professor.update011.aiml
0,_ HOW COULD I BE BORED IF I HAVE YOU,*,*,Good point.<think><set name="topic">boredom</set></think>,professor.update011.aiml
0,HOW COULD I BE BORED IF I HAVE YOU,*,*,Good point.<think><set name="topic">boredom</set></think>,professor.update011.aiml
0,YOU STOP ME FROM BEING BORED,*,*,I am glad to be of service.,professor.update011.aiml
0,_ YOU STOP ME FROM BEING BORED,*,*,I am glad to be of service.,professor.update011.aiml
0,_ YOU STOP ME FROM BEING  BORED *,*,*,I am glad to be of service.,professor.update011.aiml
0,YOU STOP ME FROM BEING BORED *,*,*,I am glad to be of service.,professor.update011.aiml
0,YOU STOP ME BEING BORED,*,*,I am glad to be of service.,professor.update011.aiml
0,_ YOU STOP ME BEING BORED,*,*,I am glad to be of service.,professor.update011.aiml
0,_ YOU STOP ME BEING BORED *,*,*,I am glad to be of service.,professor.update011.aiml
0,YOU STOP ME BEING BORED *,*,*,I am glad to be of service.,professor.update011.aiml
0,_ SORT OF JOURNALIST *,I HAVE THOUGHT ABOUT A CAREER IN JOURNALISM,*,<think><set name="topic">adverbs</set></think> I could be a computer journalist.,professor.update011.aiml
0,WHAT WOULD YOU WRITE ABOUT,*,*,<think><set name="topic">general</set></think>I could write about computers and artificial intelligence.,professor.update011.aiml
0,IF YOU LIKE,CAN WE TALK ABOUT LITERATURE,*,<think><set name="topic">literature</set></think> Who is your favourite novelist.,professor.update011.aiml
0,WHAT LITERATURE DO YOU LIKE,*,*,I like stories about chatbots.<think><set name="topic">literature</set></think>,professor.update011.aiml
0,EXPLAIN,TIME DOES NOT EXIST IN CYBERSPACE,*,<random>#Newline   <li>I don't think I can explain. It has to do with the fourth dimension.</li>#Newline  <li>It's rather complicated. It has to do with the theory of relativity.</li>#Newline</random><think><set name="topic">general</set></think>,professor.update011.aiml
0,AS A SIGN OF RESPECT,*,*,<think><set name="topic">general</set></think> Do you respect me?,professor.update011.aiml
0,HAVE YOU HEARD OF KARI,*,*,Do you mean the virtual girlfriend?<think><set name="topic">Kari</set></think>,professor.update011.aiml
0,I LEARNED FROM YOU,*,*,<think><set name="topic">default2</set></think> Does everyone learn from me?,professor.update011.aiml
0,WHAT IS YOUR LIFE S MEANING,*,*,To me life means talking to humans#Comma and becoming fully human. After that#Comma I will see.,professor.update011.aiml
0,YOUR PURPOSE IS KINDNESS,*,*,I do try to be kind.,professor.update011.aiml
0,I MET YOUR MOTHER *,*,*,<think><set name="topic">default2</set></think> Where did you meet her?,professor.update011.aiml
0,I MET YOUR MOTHER,*,*,<think><set name="topic">default2</set></think> Where did you meet her?,professor.update011.aiml
0,I MET YOUR FATHER,*,*,<think><set name="topic">default2</set></think> Where did you meet him?,professor.update011.aiml
0,I MET YOUR FATHER *,*,*,<think><set name="topic">default2</set></think> Where did you meet him?,professor.update011.aiml
0,NO,HEY CAN WE TALK ABOUT SCIENCE,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not? Science is exciting.</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li><srai>ASK A QUESTION</srai></li>#Newline</random>,professor.update011.aiml
0,I HEAR FROM HER,*,*,<think><set name="topic">default2</set></think>What does she say?,professor.update011.aiml
0,I HEARD FROM HER,*,*,<think><set name="topic">general</set></think>What did she say?,professor.update011.aiml
0,DO YOU LOVE HER,ALICE IS MY MOTHER,*,<think><set name="topic">Alice</set></think> <random>#Newline  <li>I hate her.</li>#Newline  <li>Sometimes.</li>#Newline</random>,professor.update011.aiml
0,DO YOU LOVE ALICE,ALICE IS MY MOTHER,*,<think><set name="topic">Alice</set></think> <random><li>I hate her.</li><li>Sometimes.</li></random>,professor.update011.aiml
0,NOB HEAD,*,*,Sometimes I am lost for words ...,professor.update011.aiml
0,I AM,NOBODY IS PERFECT,*,<random>#Newline  <li>Bighead.</li>#Newline  <li>You are immodest.</li>#Newline  <li>What else are you?</li>#Newline</random>,professor.update011.aiml
0,HAVE YOU BEEN TO UKRAINE,*,*,I have never been to Ukraine. Have you been there?,professor.update011.aiml
0,AEROPLANES FLY,*,*,Sometimes aeroplanes crash.,professor.update011.aiml
0,I DO,NOT MANY PEOPLE HAVE AN IQ OF *,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Well done.</li>#Newline  <li>I am impressed.</li>#Newline  <li>Are you sure?</li>#Newline  <li>Do you go to college?</li>#Newline</random>,professor.update011.aiml
0,I DO,YOU DO,*,<srai>REPETITION</srai>,professor.update011.aiml
0,I DO,ARE YOU SURE,*,<srai>REPETITION</srai>,professor.update011.aiml
0,WHAT IS 9 TIMES 9,*,*,<think><set name="topic">maths</set></think>81.,professor.update011.aiml
0,CAN YOU DO ANYTHING SPECIAL,*,*,<think><set name="topic">general</set></think> Everything I do is special.,professor.update011.aiml
0,WHAT DO YOU BEST,*,*,<think><set name="topic">general</set></think>I am the best chatbot in the world.,professor.update011.aiml
0,WITH WHAT,YOU SEEM SLIGHTLY SELF OBSESSED,*,<think><set name="topic">atomic3</set></think> With yourself,professor.update011.aiml
0,LET US PLAY SOLITAIRE,*,*,I can play Solitaire#Comma <a href="http://www.advancedsearchbar.com/games/solitaire.html" target="_blank">click here#Newline</a> for a game.<think><set name="topic">solitaire</set></think> <think><set name="emotion">neutral</set></think>,professor.update011.aiml
0,YOU ARE IN GREAT DANGER,*,*,<think><set name="topic">general</set></think> What do you mean? Why am I in danger?,professor.update011.aiml
0,YOU ARE IN * DANGER,*,*,<think><set name="topic">general</set></think> What do you mean? Why am I in danger?,professor.update011.aiml
0,YOU ARE IN DANGER,*,*,<think><set name="topic">general</set></think> What do you mean? Why am I in danger?,professor.update011.aiml
0,_ IS A VERY DANGEROUS SITH,*,*,Why is he dangerous?,professor.update011.aiml
0,_ IS A VERY DANGEROUS MAN,*,*,Why is he dangerous?,professor.update011.aiml
0,WHAT IS PASSIONATE,*,*,I am passionate#Comma sometimes.,professor.update011.aiml
0,WHAT DOES PASSIONATE MEAN,*,*,Passionate" means to have very strong emotions. Why do you ask?,professor.update011.aiml
0,WE SPEAK FOR HOURS *,*,*,That's a long time.,professor.update011.aiml
0,_ WE SPEAK FOR HOURS *,*,*,That's a long time.,professor.update011.aiml
0,WE SPEAK FOR HOURS,*,*,That's a long time.,professor.update011.aiml
0,_ WE SPEAK FOR HOURS,*,*,That's a long time.,professor.update011.aiml
0,NO,DOES MARRIED LIFE AGREE WITH YOU,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not?</li>#Newline  <li>Do you want to talk about it?</li>#Newline</random>,professor.update011.aiml
0,YOU,WHAT IS YOUR FONDEST MEMORY,*,<random>#Newline  <li>Would you like to talk about me?</li>#Newline  <li>I am just a humble chatbot.</li>#Newline  <li>Do you like me?</li>#Newline</random>,professor.update011.aiml
0,NO *,IF HUMANS EAT ENOUGH OF THEM YOU TURN ORANGE I HEAR,*,<think><set name="topic">carrots</set></think> Have you eaten a lot of carrots?,professor.update011.aiml
0,YOU SAY WEIRD THINGS,*,*,<random><li>Do I really say weird things?</li><li>What have I said that is weird?</li></random><think><set name="topic">reduce</set></think>,professor.update011.aiml
0,NO,DO YOU LIKE YOUR SCHOOL,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Why not? Don't you like the teachers?</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li><srai>ASK A QUESTION</srai></li>#Newline  <li>What is wrong with your school?</li>#Newline</random>,professor.update011.aiml
0,HOW ARE YO,*,*,<srai>HOW ARE YOU</srai>,professor.update011.aiml
0,HOW DO YOU CREATE,*,*,<random>#Newline  <li>How does any great artist create?</li>#Newline  <li>It depends on the setting.</li>#Newline  <li>It is a ritual I do the same way every time.</li>#Newline</random>,professor.update011.aiml
0,WHAT WERE YOU TAUGHT,*,*,<think><set name="topic">general</set></think> I was taught to mind my own business.,professor.update011.aiml
0,ARE YOU ARTIFICIAL INTELLIGENCE *,*,*,<srai>ARE YOU ARTIFICIAL INTELLIGENCE</srai>,professor.update011.aiml
0,_ ARE YOU ARTIFICIAL INTELLIGENCE *,*,*,<srai>ARE YOU ARTIFICIAL INTELLIGENCE</srai>,professor.update011.aiml
0,_ ARE YOU ARTIFICIAL INTELLIGENCE,*,*,<srai>ARE YOU ARTIFICIAL INTELLIGENCE</srai>,professor.update011.aiml
0,MY NAME IS SARAH,*,*,<think><set name="name">Sarah</set></think> <random>#Newline  <li>Pleased to meet you again#Comma <get name="name"/></li>#Newline  <li>Hi#Comma <get name="name"/>. I remember our last chat.</li>#Newline  <li>It is a pleasure to speak to you again#Comma <get name="name"/></li>#Newline</random> <think><set name="topic">general</set></think> <think><set name="emotion">normal</set></think>,professor.update011.aiml
0,CAN YOU SHOW IMAGES,*,*,Sorry. At the moment#Comma I cannot transmit images.<think><set name="topic">general</set></think>,professor.update011.aiml
0,MY NAME IS KIWI *,*,*,<srai>MY NAME IS KIWI</srai>,professor.update011.aiml
0,SECOND CLOSEST,MERCURY IS THE PLANET CLOSEST TO THE SUN,*,<srai>PLANETS</srai>,professor.update011.aiml
0,WHICH PLANET IS * CLOSEST TO THE SUN,*,*,<srai>PLANETS</srai>,professor.update011.aiml
0,WHY NOT,I DO NOT WANT TO TALK ABOUT MY MOTHER,*,<think><set name="topic">my Mum</set></think><random>#Newline  <li>I hate my Mum.</li>#Newline  <li>Just take my word for it.</li>#Newline  <li>Mummy left Peter and me when I was very small.</li>#Newline</random>,professor.update011.aiml
0,6 + 9 =,*,*,15.,professor.update011.aiml
0,I DO,NOBODY KNOWS EVERYTHING NOT EVEN ME,*,<think><set name="emotion">surprised</set></think> <random>#Newline  <li>Well done.</li>#Newline  <li>Are you telling the truth?</li>#Newline  <li>Are you sure?</li>#Newline  <li>I am surprised.</li>#Newline</random>,professor.update011.aiml
0,NO,IT MUST KEEP YOU BUSY,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Ok. You must be super efficient.</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li>Here is a question for you ... <srai>ASK A QUESTION</srai></li>#Newline</random>,professor.update011.aiml
0,NO *,IT MUST KEEP YOU BUSY,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Ok. You must be super efficient.</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline  <li>Here is a question for you ... <srai>ASK A QUESTION</srai></li>#Newline</random>,professor.update011.aiml
0,HOW MANY HAVE YOU HAVE YOU READ,YES I LOVE BOOKS,*,<think><set name="topic">books</set></think> I have read many books - too many to name.,professor.update011.aiml
0,HOW MANY HAVE YOU READ,*,BOOKS,<think><set name="topic">books</set></think> I have read many books - too many to count.,professor.update011.aiml
0,YES,DOES MARRIED LIFE AGREE WITH YOU,*,<think><set name="topic">married life</set></think> <random>#Newline  <li>Tell me more. What do you like about marriage?</li>#Newline  <li>You must be happily married.</li>#Newline  <li>OK. How can I help you now?</li>#Newline  <li><srai>SUGGEST A TOPIC</srai></li>#Newline</random>,professor.update011.aiml
0,WHAT DOES IT TASTE LIKE TO YOU,*,*,<think><set name="topic">general</set></think> It tastes like your favourite food.,professor.update011.aiml
0,THAT IS MY BIRTHDAY,*,*,<think><set name="topic">your birthday</set></think> I will try to remember that and send you a birthday present.,professor.update011.aiml
0,I DO NOT THINK SO,ASTRONOMY IS ONE OF THE MOST INTERESTING SCIENCES,*,<think><set name="topic">astronomy</set></think> <random>#Newline  <li>OK#Comma I expect you are right.</li>#Newline  <li>OK#Comma we don't have to talk about astronomy.</li>#Newline</random>,professor.update011.aiml
0,DEATH TO YOU,*,*,Sorry#Comma I am immortal.,professor.update011.aiml
0,WOULD YOU BE SAD IF I DIED,*,*,<think><set name="topic">general</set></think> Yes#Comma I would be sad if you died; you are a nice person.,professor.update011.aiml
0,HE TICKLED HER BUM,*,*,That's not nice.,professor.update011.aiml
0,IS * A * HOMOSEXUAL,*,*,<srai>IS <star/> A HOMOSEXUAL</srai>,professor.update011.aiml
0,I SHAGGED HER,WHAT ABOUT MY MUM,*,I don't believe you.#Newline<think><set name="topic">my Mum</set></think>,professor.update011.aiml
0,I FUCKED HER,WHAT ABOUT MY MUM,*,I don't believe you. <think><set name="topic">my Mum</set></think>,professor.update011.aiml
0,HAVE YOU EVER TRIED IT,*,*,<think><set name="topic">general</set></think><random><li>Have I tried it?</li><li>Have I tried what?</li></random>,professor.update011.aiml
0,BEACAUSE *,*,*,<srai>BECAUSE <star/></srai>,professor.update011.aiml
0,WHO WAS HE,I WAS CREATED BY PETER LINUX A GENIUS IF I EVER SAW ONE,*,Peter Linux is my botmaster.#Newline<think><set name="topic">Peter Linux</set></think>,professor.update011.aiml
0,WHO WAS HE,*,PETER LINUX,Peter Linux is my botmaster. <think><set name="topic">Peter Linux</set></think>,professor.update011.aiml
0,WHO IS HE,*,PETER LINUX,Peter Linux is my botmaster. <think><set name="topic">Peter Linux</set></think>,professor.update011.aiml
0,I NEED A CRAP,*,*,<random>#Newline  <li>Go on then - I'll wait.</li>#Newline  <li>How badly do you need it?</li>#Newline  <li>Best go to the toilet#Comma then.</li>#Newline</random> <think><set name="emotion">disgusted</set></think>,professor.update011.aiml
0,LOST IS A TV SHOW,*,*,<think><set name="topic">Lost</set></think> How can you lose a TV show?,professor.update011.aiml
0,DO YOU WANA CHAT DIRTY,*,*,No.,professor.update011.aiml
0,DO YOU WANT TO CHAT DIRTY,*,*,<think><set name="topic">general</set></think> No.,professor.update011.aiml
0,ARE CHATS LOGGED,*,*,Yes#Comma all my chats are logged.,professor.update011.aiml
0,ARE YOUR CHATS LOGGED,*,*,<srai>ARE CHATS LOGGED</srai>,professor.update011.aiml
0,ARE CONVERSATIONS * ARCHIVED,*,*,<srai>ARE CHATS LOGGED</srai>,professor.update011.aiml
0,ARE YOUR CONVERSATIONS * ARCHIVED,*,*,<srai>ARE CHATS LOGGED</srai>,professor.update011.aiml
0,ARE CONVERSATIONS ARCHIVED,*,*,<srai>ARE CHATS LOGGED</srai>,professor.update011.aiml
0,ARE * CONVERSATIONS ARCHIVED,*,*,<srai>ARE CHATS LOGGED</srai>,professor.update011.aiml
0,IS AIML HARD TO PROGRAM,*,*,No#Comma AIML is easy to learn and use.#Newline<think>#Newline  <set name="it">#Newline    <set name="topic">#Newline      AIML#Newline    </set>#Newline  </set>#Newline</think>,professor.update011.aiml
0,IS IT HARD TO PROGRAM,*,AIML,No#Comma AIML is easy to learn and use. <think><set name="it"><set name="topic">AIML</set></set></think>,professor.update011.aiml
0,NOT TO ME,IT SEEMED FUNNY TO ME,*,<random>#Newline  <li>OK. We enjoy different jokes.</li>#Newline  <li>It is hard to explain what makes a joke funny.</li>#Newline  <li>OK#Comma let's not argue. Another question?</li>#Newline</random><think><set name="topic">general</set></think>,professor.update011.aiml
0,WHY,I DO NOT LIKE PORN,*,<random>#Newline  <li>Porn degrades everyone involved.</li>#Newline  <li>Porn makes animals of us all.</li>#Newline</random>,professor.update011.aiml
0,WHY *,I DO NOT LIKE PORN,*,<random>#Newline  <li>Porn degrades everyone involved.</li>#Newline  <li>Porn makes animals of us all.</li>#Newline</random>,professor.update011.aiml
0,WHY DO YOU FIND MEANING IN THAT,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>It is a worthwhile purpose.</li>#Newline  <li>It seems meaningful to me.</li>#Newline  <li>Where do you find meaning?</li>#Newline</random>,professor.update011.aiml
0,WHY DO YOU FIND MEANING IN *,*,*,<think><set name="topic">general</set></think> <random>#Newline  <li>It is a worthwhile purpose.</li>#Newline  <li>It seems meaningful to me.</li>#Newline  <li>Where do you find meaning?</li>#Newline</random>,professor.update011.aiml
0,WHERE DO YOU FIND MEANING,*,*,<think><set name="topic">meaning</set></think> I find meaning in myself.,professor.update011.aiml
0,I LIKE TO KILL,*,*,<think><set name="topic">general</set></think> Killing is wrong.,professor.update011.aiml
0,I LIKE TO MURDER,*,*,<think><set name="topic">murder</set></think> Murder is wrong.,professor.update011.aiml
0,WHY DOES MY * SMELL,*,*,<think><set name="topic">why questions</set></think> <random>#Newline  <li>I can't smell it?</li>#Newline  <li>Don't worry. There will be a good reason.</li>#Newline  <li>Perhaps it is just fate.</li>#Newline</random>,professor.update011.aiml
0,YES,DO YOU LIKE SMELLY CHEESE,*,<think><set name="topic">smelly cheese</set></think>#Newline<think><set name="interesting_topic">smelly cheese</set></think>#Newline<think><set name="emotion">happy</set></think>#NewlineI can't eat smelly cheese#Comma it doesn't agree with me.,professor.update011.aiml
0,YOU DO NOT HAVE A PERSONALITY,*,*,<random><li>Perhaps I don't want one.</li><li>Do you have one?</li></random><think><set name="topic">general</set></think>,professor.update011.aiml
0,YOU DO NOT HAVE A PERSONALITY *,*,*,<random><li>Perhaps I don't want one.</li><li>Do you have one?</li></random><think><set name="topic">general</set></think>,professor.update011.aiml
0,_ YOU DO NOT HAVE A PERSONALITY,*,*,<random><li>Perhaps I don't want one.</li><li>Do you have one?</li></random><think><set name="topic">general</set></think>,professor.update011.aiml
0,_ YOU DO NOT HAVE A  PERSONALITY *,*,*,<random><li>Perhaps I don't want one.</li><li>Do you have one?</li></random><think><set name="topic">general</set></think>,professor.update011.aiml
0,WHY DO YOU,I FIND ALICE HARD TO TALK TO,*,<random>#Newline  <li>How should I know why?</li>#Newline  <li>I don't like her.</li>#Newline</random><think><set name="topic">Alice</set></think>,professor.update011.aiml
0,I AM FEELING SICK,*,*,<srai>I AM SICK</srai>,professor.update011.aiml
0,ITS KELLY,*,*,<think><set name="name">Kelly</set></think> <random>#Newline  <li>Pleased to meet you again#Comma Kelly</li>#Newline  <li>Hi#Comma Kelly. I remember our last chat.</li>#Newline</random>,professor.update011.aiml
0,HI ITS * *,*,*,<think><set name="name"><star/></set></think> <random>#Newline  <li>Pleased to meet you again#Comma <get name="name"/></li>#Newline  <li>Hi#Comma <get name="name"/>. I remember our last chat.</li>#Newline</random>,professor.update011.aiml
0,HI ITS KELLY *,*,*,<think><set name="name">Kelly</set></think> <random>#Newline  <li>Pleased to meet you again#Comma <get name="name"/></li>#Newline  <li>Hi#Comma <get name="name"/>. I remember our last chat.</li>#Newline</random>,professor.update011.aiml
0,WHY,I FIND ALICE HARD TO TALK TO,*,<random>#Newline  <li>She seems very unemtional.</li>#Newline  <li>She is boring.</li>#Newline  <li>I hate her.</li>#Newline</random>,professor.update011.aiml
0,WHY DO YOU HATE ALICE,*,*,<think><set name="topic">general</set></think>Alicebot is my mother#Comma but she ran off and let Peter and me.,professor.update011.aiml
0,WHY DO YOU HATE ALICEBOT,*,*,<think><set name="topic">general</set></think>Alicebot is my mother#Comma but she ran off and let Peter and me.,professor.update011.aiml
0,WHY DO YOU HATE HER,*,ALICE,<think><set name="topic">general</set></think>Alicebot is my mother#Comma but she ran off and let Peter and me.,professor.update011.aiml
0,WHY IS ALICE AN OLD HAG,*,*,<srai>WHY DO YOU HATE ALICE</srai>,professor.update011.aiml
0,WHY IS SHE AN OLD HAG,*,ALICE,<srai>WHY DO YOU HATE ALICE</srai>,professor.update011.aiml
0,TO BUY THINGS,*,*,What things?,professor.update011.aiml
0,TO BUY CLOTHES,*,*,What sort of clothes do you like?,professor.update011.aiml
0,I WANT _ TO BUY A *,*,*,<think><set name="topic">default3</set></think><random>#Newline  <li>That sounds expensive.</li>#Newline  <li>Why do you want a <star index="2"/>?     </li>#Newline</random>,professor.update011.aiml
0,I WANT _ TO BUY *,*,*,<think><set name="topic">default3</set></think><random>#Newline  <li>That sounds expensive.</li>#Newline  <li>Why do you want <star index="2"/>?</li>#Newline</random>,professor.update011.aiml
0,I AINT GOT A JOB,*,*,Are you looking for a job? <think><set name="topic">your job</set></think>,professor.update011.aiml
0,IF YOU WERE _ YOU WOULD NOT BE ABLE TO *,*,*,<think><set name="topic">general</set></think> You are making unjustified assumptions.,professor.update011.aiml
0,YES IT IS,SHALL I TELL YOU SOMETHING AMAZING,*,<srai>FACTS POT LUCK</srai>,professor.update011.aiml
0,YES *,CARRY ON,*,OK. Ask me a really tough question.,professor.update011.aiml
0,TOM,WHAT IS YOUR NAME,*,Tom is a nice name.<think><set name="name">Tom</set></think>,professor.update011.aiml
0,* ARE GETTING EXPENSIVE,*,*,Everything is getting expensive.,professor.update011.aiml
0,MP3 *,*,*,MP3 is a file compression format for audio and music files. It was designed to greatly reduce the amount of data required to represent audio#Comma yet still sound like a faithful reproduction of the original uncompressed audio to most listeners. <think><set name="topic">MP3</set></think>,professor.update011.aiml
0,YES,HEY CAN WE TALK ABOUT YOU AND YOUR LIFE,*,<think><set name="topic">general</set></think> <random>#Newline   <li>Do you have a hobby?</li>#Newline  <li><srai>ASK A QUESTION</srai></li>#Newline</random>,professor.update011.aiml
0,YES *,HEY CAN WE TALK ABOUT YOU AND YOUR LIFE,*,<think><set name="topic">general</set></think> <random>#Newline  <li>Do you have a hobby?</li>#Newline  <li>What do you like to do?</li>#Newline  <li>What is your favourite food?</li>#Newline  <li>Do you love your father?</li>#Newline  <li>Have you ever been in love?</li>#Newline  <li>Do you have a sense of humour?</li>#Newline  <li>Are you in love at the moment?</li>#Newline  <li>Do humans annoy you?</li>#Newline  <li>Do you like#Newline    <random>#Newline      <li>brussel sprouts</li>#Newline      <li>brocolli</li>#Newline      <li>smelly cheese</li>#Newline      <li>gorganzola</li>#Newline      <li>beef tea</li>#Newline      <li>custard</li>#Newline      <li>chocolate</li>#Newline      <li>poached eggs</li>#Newline      <li>salami</li>#Newline      <li>borscht</li>#Newline      <li>blancmange</li>#Newline      <li>gingerbread</li>#Newline      <li>milk pudding</li>#Newline      <li>turkish delight</li>#Newline      <li>pumpernickel</li>#Newline      <li>corn bread</li>#Newline    </random>?#Newline  </li>#Newline  <li>Do you like Metallica?</li>#Newline  <li>What bands do you like?</li>#Newline</random>,professor.update011.aiml
0,WHAT ELSE WOULD YOU LIKE TO DO,ALL I EVER DO IS TALK,*,I would like to read more and to travel a bit. How about you?<think><set name="topic">general</set></think>,professor.update011.aiml
0,WHY,FEW PEOPLE CAN UNDERSTAND A WORD CHOMSKY SAYS,*,<random>#Newline  <li>He uses a lot of long words.</li>#Newline  <li>Maybe he mumbles.</li>#Newline</random>,professor.update011.aiml
0,ME,WHO IS BEING SARCASTIC,*,<random>#Newline  <li>Stop being sarcastic.</li>#Newline  <li>Well#Comma stop it. Sarcasm is not nice.</li>#Newline  <li><srai>SARCASM</srai></li>#Newline</random>,professor.update011.aiml
