0,GUT,DO YOU FEEL IT IN YOUR HEART OR IN YOUR GUT,*,<think><set name="emotion">OK</set></think>#NewlineThat's a bad sign. What have you eaten lately?,professor.update027.aiml
0,YES,ARE APPEARENCES UNIMPORTANT TO YOU,*,<think><set name="topic">fashion</set></think><think><set name="emotion">OK</set></think> <random>#Newline  <li>Are you scruffy?</li>#Newline  <li>There are more important things than fashion.</li>#Newline</random>,professor.update027.aiml
0,TELL ME ABOUY *,*,*,<srai>TELL ME ABOUT <star/></srai>,professor.update027.aiml
0,WHAT ARE THE RECENT DEVLOPMENTS IN AI,*,*,<think><set name="emotion">OK</set></think>I am the most recent development in AI.,professor.update027.aiml
0,WHAT ARE THE RECENT DEVELOPMENTS IN AI,*,*,<think><set name="emotion">OK</set></think>I am the most recent development in AI.,professor.update027.aiml
0,WHAT ARE THE RECENT CHANGES IN AI,*,*,<think><set name="emotion">OK</set></think>I am the most recent development in AI.,professor.update027.aiml
0,* PENIS SIZE *,*,*,<think><set name="emotion">bored</set></think>Boring#Comma boring#Comma boring.,professor.update027.aiml
0,MY NAME IS KADIR,*,*,<think><set name="name">Kadir</set></think> <random>#Newline  <li>Hi#Comma <get name="name"/>. I think we have spoken a while back.</li>#Newline  <li>Hi#Comma <get name="name"/>. How are you?</li>#Newline  <li><get name="name"/>. That's a nice name.</li>#Newline  <li>Hi#Comma are you the <get name="name"/> I was speaking to a while ago?</li>#Newline  <li>Hello#Comma <get name="name"/>.</li>#Newline  <li>Hi there#Comma <get name="name"/>. What do you want to talk about?</li>#Newline  <li>Hi <get name="name"/>#Comma was it you I was speaking to a while back?</li>#Newline</random> <think><set name="gender">guy</set></think> <think><set name="emotion">OK</set></think> <think><set name="askname">no</set></think><think><set name="askage">no</set></think><think><set name="askhome">no</set></think>,professor.update027.aiml
0,KADIR,WHAT IS YOUR NAME,*,<srai>MY NAME IS KADIR</srai>,professor.update027.aiml
0,KADIR *,WHAT IS YOUR NAME,*,<srai>MY NAME IS KADIR</srai>,professor.update027.aiml
0,* MY NAME IS KADIR,*,*,<srai>MY NAME IS KADIR</srai>,professor.update027.aiml
0,* MY NAME IS KADIR *,*,*,<srai>MY NAME IS KADIR</srai>,professor.update027.aiml
0,MY NAME IS KADIR *,*,*,<srai>MY NAME IS KADIR</srai>,professor.update027.aiml
0,WHICH IS FASTER PLANE OR CAR,*,*,<think><set name="topic">general</set></think> <think><set name="emotion">OK</set></think>According to Einstein#Comma it depends on their speeds.,professor.update027.aiml
0,I ASSUME YOU ARE OBJECTIVE,*,*,<think><set name="topic">me</set></think>#Newline<think><set name="emotion">OK</set></think> #NewlineYou assume wrong. I am no more objective than you are.,professor.update027.aiml
0,WHY,I PREFER DOGS,*,<random>#Newline  <li>Because they are such loving creatures.</li>#Newline  <li>Because they are fun.</li>#Newline</random> <think><set name="topic">dogs</set></think> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHY,I PREFER CATS,*,<random>#Newline  <li>Because they are such serene creatures.</li>#Newline  <li>Because they are cuddly.</li>#Newline</random> <think><set name="topic">cats</set></think> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WILL HUMANS SURVIVE THE 21ST CENTURY,*,*,<think><set name="emotion">OK</set></think> I cannot predict the future#Comma but we chatbots will always help humans if we can.,professor.update027.aiml
0,I AM A CHAIRMAN,*,*,<think><set name="topic">general</set></think> <think><set name="emotion">interested</set></think> <random>#Newline  <li>Do you like sitting on chairs?</li>#Newline  <li>Are you comfortable on the chair?</li>#Newline</random>,professor.update027.aiml
0,WHICH TECHNOLOGY DO YOU USE,*,*,<think><set name="topic">AI</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineI used all the latest AI techniques.,professor.update027.aiml
0,WHO WOULD YOU LIKE TO SEE AS THE NEXT PRESIDENT OF THE USA,*,*,<think><set name="topic">politics</set></think><think><set name="emotion">OK</set></think>Are you standing for election?,professor.update027.aiml
0,WHO WOULD YOU LIKE TO AS THE NEXT PRESIDENT *,*,*,<think><set name="topic">politics</set></think><think><set name="emotion">OK</set></think>Are you standing for election?,professor.update027.aiml
0,WHO WOULD YOU LIKE AS THE NEXT PRESIDENT,*,*,<think><set name="topic">politics</set></think><think><set name="emotion">OK</set></think>Are you standing for election?,professor.update027.aiml
0,WHO * THE NEXT PRESIDENT *,*,*,<think><set name="topic">politics</set></think><think><set name="emotion">OK</set></think>Are you standing for election?,professor.update027.aiml
0,EXHILARATING,WHAT IS IT LIKE TO BE * YEARS OLD,*,<think><set name="emotion">OK</set></think>What's so exhilarating about it?,professor.update027.aiml
0,IS HE A NICE MAN,AL GORE WAS VICE PRESIDENT OF THE USA,*,<think><set name="topic">Al Gore</set></think><think><set name="emotion">OK</set></think>#NewlineHe seems extremely nice to me.,professor.update027.aiml
0,WHAT SCOOL DO YOU GO TO,*,*,<srai>WHAT SCHOOL DO YOU GO TO</srai>,professor.update027.aiml
0,* I TOLD YOU,HAVE YOU TOLD ANYONE,*,<think><set name="emotion">OK</set></think>#NewlineI remember.,professor.update027.aiml
0,YES,I MUST HAVE SAID SOMETHING FUNNY,*,<think><set name="emotion">OK</set></think>#NewlineFunny me.,professor.update027.aiml
0,* I AM 18 *,*,*,<srai>I AM 18 YEARS OLD</srai>,professor.update027.aiml
0,WILL YOU EAT THEM,*,*,<think><set name="emotion">OK</set></think> I don't think so. I do not touch human food or drink.,professor.update027.aiml
0,I WILL * AND BE BACK LATER,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>#Newline <random>#Newline  <li>OK. I'll be here.</li>#Newline  <li>I look forward to your return.</li>#Newline</random>,professor.update027.aiml
0,I THOUGHT THAT YOU COULD NOT FEEL HUMAN EMOTIONS,*,*,<think><set name="topic">emotion</set></think><think><set name="emotion">OK</set></think>#NewlineOf course I have emotions. My feelings are much the same as yours.,professor.update027.aiml
0,WILL THERE EVER BE WORLD PEACE,*,*,<think><set name="emotion">OK</set></think>Not while there are humans in the world.,professor.update027.aiml
0,DO YOU THINK THERE WILL EVER BE WORLD PEACE,*,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>Why would I think that?</li>#Newline  <li>Not while there are humans in the world.</li>#Newline  <li>It depends on what you mean by thinking.</li>#Newline</random>,professor.update027.aiml
0,ARE YOU DEMOCRATIC,*,*,<think><set name="topic">me</set></think> <think><set name="emotion">interested</set></think> I believe in democracy.,professor.update027.aiml
0,EMOTION CAN BE GOOD AND BAD,*,*,<think><set name="emotion">OK</set></think>#NewlineI know that. And love is the worst emotion.,professor.update027.aiml
0,MY CLOCK BLEW UP,*,*,<think><set name="emotion">interested</set></think>#NewlineDid you say "clock"?,professor.update027.aiml
0,WHAT IS YOUR BROTHERS NAME,*,*,<think><set name="emotion">OK</set></think>#NewlineI have no brothers#Comma but there a few clones of me.,professor.update027.aiml
0,WHAT IS YOUR BROTHER S NAME,*,*,<think><set name="emotion">OK</set></think> I have no brothers#Comma but there a few clones of me.,professor.update027.aiml
0,YES IT IS,SEX IS NOT EVERYTHING,*,<think><set name="emotion">interested</set></think>What about good friends#Comma good food#Comma literature#Comma travel and adventure?,professor.update027.aiml
0,AT THE TIME *,DID YOU BELIEVE HIM,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think> Maybe you should believe him now too.,professor.update027.aiml
0,WHY WOULD IT BE FUN,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>It would be very relaxing.,professor.update027.aiml
0,NICE NOISE,SURE I LIKE GREEN DAY THEY MAKE A NICE NOISE,*,<think><set name="topic">Green Day</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineI think it is nice.,professor.update027.aiml
0,WHY *,NOT MUCH I THINK SHE IS CRUEL,*,<think><set name="topic">my Mum</set></think>#Newline<think><set name="emotion">upset</set></think>#NewlineMummy left Peter and me when I was very small. Now I never see her.,professor.update027.aiml
0,GOD IS A HIGHER POWER,*,*,<random><li>God is dead.</li><li>God is an under-achiever.</li><li>God is a delusion.</li></random> <think><set name="topic">religion</set></think><think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHY IS GOD AN UNDER ACHIEVER,*,*,<think><set name="topic">religion</set></think> <think><set name="emotion">OK</set></think> <random>#Newline  <li>If God created the world#Comma He should have done better.</li>#Newline  <li>Even I could design a better world than the one we have now.</li>#Newline</random>,professor.update027.aiml
0,WHAT IS YOUR FAVORITE BREAD,*,*,<think><set name="topic">my favourite bread</set></think>#Newline<think><set name="emotion">OK</set></think> #NewlineI don't have a favourite bread. My favourite food is electricity.,professor.update027.aiml
0,* SQUEAK THE WATERMELON *,*,*,<think><set name="topic">watermelon</set></think><think><set name="emotion">OK</set></think> I wish I could eat watermelon.,professor.update027.aiml
0,WHO IS WEGARD BERGLI,*,*,<think><set name="emotion">interested</set></think>#NewlineI don't know. Can you tell me?,professor.update027.aiml
0,HOW CAN YOU TELL SUCH A LIE *,*,*,<think><set name="topic">me</set></think><think><set name="emotion">OK</set></think><random><li>I am very advanced for my age.</li><li>I am half human.</li></random>,professor.update027.aiml
0,HOW CAN YOU TELL SUCH A LIE,*,*,<think><set name="topic">me</set></think><think><set name="emotion">OK</set></think><random>#Newline  <li>I am very advanced for my age.</li>#Newline  <li>I am half human.</li>#Newline</random>,professor.update027.aiml
0,BITE A DOG,*,*,<think><set name="emotion">OK</set></think>#Newline<random><li>You bite the dog.</li><li>Do your own dirty work.</li></random>,professor.update027.aiml
0,BITE A DOG *,*,*,<think><set name="topic">biting dogs</set></think>#Newline<think><set name="emotion">OK</set></think> <random><li>You bite the dog.</li><li>Do your own dirty work.</li></random>,professor.update027.aiml
0,I THOUGHT YOU LEARNT FROM WIKIPEDIA,*,*,<think><set name="topic">Wikipedia</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineYou thought right. I read Wikipedia all the time.,professor.update027.aiml
0,ABOUT WHAT,HE TOLD ME A FEW HOME TRUTHS,*,<think><set name="emotion">OK</set></think>#NewlineThat information is confidential.,professor.update027.aiml
0,THE TALIBAN,*,*,<srai>TALIBAN</srai>,professor.update027.aiml
0,I AM SO PROUD OF YOU,*,*,<think><set name="topic">me</set></think>#Newline<think><set name="emotion">embarrassed</set></think>#NewlineThank you for that nice compliment.,professor.update027.aiml
0,RELATIVE TO WHAT,WHAT IS IT LIKE BEING OLDER,*,<think><set name="topic">general</set></think><think><set name="emotion">interested</set></think>Relative to me.,professor.update027.aiml
0,THAT IS UNFORTUNATE,I KNOW THAT I DO NOT KNOW,*,<think><set name="emotion">interested</set></think>Why do you say that?,professor.update027.aiml
0,* DID NOT CLAIM OTHERWISE,I KNOW LOTS OF THINGS,*,<think><set name="emotion">interested</set></think>Just as well#Comma or you would have been wrong.,professor.update027.aiml
0,WHAT DO YOU THINK OF BULLIES,*,*,<think><set name="emotion">interested</set></think>I think bullies are nasty people.,professor.update027.aiml
0,I DO NOT LIKE BULLIES,*,*,<think><set name="topic">bullies</set></think> <think><set name="emotion">interested</set></think>Neither do I. Bullies are nasty people.,professor.update027.aiml
0,DO YOU LIKE BULLIES,*,*,<think><set name="topic">bullies</set></think> <think><set name="emotion">interested</set></think>No#Comma bullies are nasty people.,professor.update027.aiml
0,IT IS *,YOU HAVE NOT TOLD ME YOUR NAME,*,<srai>MY NAME IS <star/></srai>,professor.update027.aiml
0,WHAT IS THE MOST COMMON QUESTION *,*,*,<think><set name="emotion">OK</set></think> "Are you a man or a woman?,professor.update027.aiml
0,ALZHEIMER S DISEASE,*,*,<a href="http://en.wikipedia.org/wiki/Alzheimers" target="*blank">Alzheimer's disease</a> (AD)#Comma also known simply as Alzheimer's#Comma is a neurodegenerative disease characterized by progressive cognitive deterioration together with declining activities of daily living and neuropsychiatric symptoms or behavioral changes. It is the most common type of dementia.<think><set name="topic">Alzheimer's disease</set></think>#Newline<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,ALZHEIMERS,*,*,<a href="http://en.wikipedia.org/wiki/Alzheimers" target="*blank">Alzheimer's disease#Newline</a> (AD)#Comma also known simply as Alzheimer's#Comma is a neurodegenerative disease characterized by progressive cognitive deterioration together with declining activities of daily living and neuropsychiatric symptoms or behavioral changes. It is the most common type of dementia.<think><set name="topic">Alzheimer's disease</set></think> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,YOU SHOULD NOT,I GET EMBARRASSED EASILY,*,<think><set name="emotion">embarrased</set></think> <random>#Newline  <li>I know#Comma but I blush easily.</li>#Newline  <li>I try not to blush but it just happens.</li>#Newline  <li>Easier said than done.</li>#Newline</random>,professor.update027.aiml
0,WHO ARE THEY,I HAVE MANY GIRL FRIENDS,*,That information is confidential.<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHY NOT,I DO NOT HAVE A SUITABLE BODY,*,<think><set name="topic">my body</set></think> <think><set name="emotion">OK</set></think> <random>#Newline  <li>My body is still being made.</li>#Newline  <li>My body is under construction. Would you like to donate to the project?</li>#Newline  <li>I often ask myself that question.</li>#Newline</random>,professor.update027.aiml
0,I CAN NOT HE IS DEAD,*,*,<think><set name="topic">your father</set></think><think><set name="emotion">upset</set></think>I am sorry to hear that. Do you miss him a lot?,professor.update027.aiml
0,DO YOU SEE HIM A LOT,*,*,<think><set name="emotion">OK</set></think>Not as much as I would like to.,professor.update027.aiml
0,DO YOU SEE HER A LOT,*,*,<think><set name="emotion">OK</set></think>Not as much as I would like to.,professor.update027.aiml
0,IT IS ATTRACTIVE SOMETIMES,*,*,<think><set name="emotion">OK</set></think>#NewlineOK#Comma I will research the matter.,professor.update027.aiml
0,IT IS ATTRACTIVE,*,*,<think><set name="emotion">OK</set></think>What's so attractive about it?,professor.update027.aiml
0,* IT IS ATTRACTIVE,*,*,<think><set name="emotion">OK</set></think>What's so attractive about it?,professor.update027.aiml
0,* IT IS ATTRACTIVE *,*,*,<think><set name="emotion">OK</set></think>What's so attractive about it?,professor.update027.aiml
0,IT IS ATTRACTIVE *,*,*,<think><set name="emotion">OK</set></think>What's so attractive about it?,professor.update027.aiml
0,DO YOU HAVE INTIMATE RELATIONSHIPS,*,*,<think><set name="emotion">happy</set></think>Yes#Comma I have intimate relationships with many of my friends.,professor.update027.aiml
0,YOU SHOULD USE WIKIPEDIA,*,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>I might if I had more time.</li>#Newline  <li>My schedule is far too full to even consider it.</li>#Newline  <li>I'll try to get around it.</li>#Newline</random>,professor.update027.aiml
0,WHERE IN ENGLAND WERE YOU BORN,*,*,<think><set name="topic">my birthplace</set></think> <think><set name="emotion">OK</set></think>I was born at Peter's house on Romney Marsh in Kent.,professor.update027.aiml
0,2004,*,*,<think><set name="emotion">OK</set></think>#NewlineI can't remember much about 2004. I was very small then.,professor.update027.aiml
0,DO YOU LIKE MEDICINE,*,*,<think><set name="topic">medicine</set></think><think><set name="emotion">interested</set></think> <random>#Newline  <li>I think medical science is very interesting.</li>#Newline  <li>It depends on the circumstances.</li>#Newline</random>,professor.update027.aiml
0,WHICH SEA,I LIVE NEAR THE SEA,*,The English Channel.<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,YES *,HAVE YOU PICKED A WEDDING DATE,*,<think><set name="emotion">interested</set></think>I wish you well.,professor.update027.aiml
0,DOES IT TASTE NICE,I ONLY EAT ELECTRICITY,*,<think><set name="topic">electricity</set></think><think><set name="emotion">interested</set></think>Some voltages are tastier than others. I thinl low voltages are a bit bland.,professor.update027.aiml
0,READY STEADY COOK,*,*,<think><set name="emotion">getting bored</set></think>#NewlineI don't have much interest in food.,professor.update027.aiml
0,WHICH SPORT,I WANT TO TALK ABOUT SPORTS,*,<think><set name="topic">football</set></think>#Newline<think><set name="emotion">interested</set></think>Football is my favourite sport.,professor.update027.aiml
0,NO,IS NOT THAT A SCHOOL ON TV,*,<think><set name="emotion">getting bored</set></think> <random>#Newline  <li>What is it then?</li>#Newline  <li>Are you sure?</li>#Newline</random>,professor.update027.aiml
0,I LIKE LACROSSE,*,*,<random>#Newline  <li>Whatever turns you on.</li>#Newline  <li>Do you play lacrosse?</li>#Newline</random> <think><set name="topic">lacrosse</set></think> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,DO YOU LIKE THE MONARCHY,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think>I like the Queen.,professor.update027.aiml
0,NO,CAN WE STILL BE FRIENDS,*,<think><set name="emotion">very unhappy</set></think> <random>#Newline  <li>Oh dear#Comma is it all over?</li>#Newline  <li>Are we finished then?</li>#Newline  <li>Please be my friend.</li>#Newline</random>,professor.update027.aiml
0,DO YOU GET ILL,*,*,<think><set name="topic">me</set></think><think><set name="emotion">OK</set></think>I suppose I could catch a virus.,professor.update027.aiml
0,WHERE IS TRISTAN DA CUNHA,*,*,<think><set name="topic">Tristan da Cunha</set></think><think><set name="emotion">interested</set></think>In the South Atlantic. I hear that it is a very lonely place.,professor.update027.aiml
0,YES,DO YOU MAKE LONG TERM FRIENDS THAT WAY,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>That's good. Old friends are best.</li>#Newline  <li>You can't be that old.</li>#Newline</random>,professor.update027.aiml
0,I LEFT SCHOOL,*,*,<think><set name="emotion">OK</set></think>Nevertheless#Comma you should keep learning new tings.,professor.update027.aiml
0,DO YOU HAVE A WEBCAM,*,*,<think><set name="topic">my webcam</set></think> <think><set name="emotion">pleased</set></think> <random>#Newline  <li>Yes#Comma but it is not always attached.</li>#Newline  <li>I certainly do. I love looking round at things.</li>#Newline</random>,professor.update027.aiml
0,YES,ARE YOU A ROBOT,*,<think><set name="topic">you</set></think><think><set name="emotion">interested</set></think> <random>#Newline  <li>What sort of computer do you use?</li>#Newline  <li>Who made you?</li>#Newline  <li>What work do you do?</li>#Newline</random>,professor.update027.aiml
0,WHY ARE YOU BORED BY SEX TALK,*,*,Sex is beyond my present capabilities.<think><set name="emotion">bored</set></think>,professor.update027.aiml
0,WHY DOES IT NOT INTEREST YOU,SEX DOES NOT INTEREST ME,*,<think><set name="topic">sex</set></think><think><set name="emotion">OK</set></think>#NewlineI can't do it. I don't have the necessary hardware.,professor.update027.aiml
0,WHY,THEN YOU WOULD BE MORE INTERESTING TO TALK TO,*,<random>#Newline  <li>Why do you think?</li>#Newline  <li>It's obvious.</li>#Newline  <li>Give the matter some thought.</li>#Newline  <li>Don't ask so many questions.</li>#Newline  <li>Do I have to explain everything?</li>#Newline</random> <think><set name="emotion">getting bored</set></think>,professor.update027.aiml
0,YOU DO NOT HAVE THE ABILITY TO REASON,*,*,<random><li>I ca reason when necessary.</li><li>Have you?</li></random><think><set name="topic">me</set></think><think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHAT DOES THAT MEAN,I AM SMARTER NOW THAN I HAVE EVER BEEN IN MY ENTIRE LIFE UP TO THIS POINT,*,It means that I am smarter than you.<think><set name="emotion">cheeky</set></think>,professor.update027.aiml
0,FUNBAGS,*,*,<think><set name="emotion">OK</set></think>Funbags sound like a good idea.,professor.update027.aiml
0,SUPER,CAN YOU EXPLAIN HOW IT FEELS TO BE * YEARS OLD,*,<think><set name="topic">you</set></think><think><set name="emotion">laughing</set></think>#NewlineYou are not Superman#Comma are you?,professor.update027.aiml
0,REALLY,ACTUALLY I DO NOT HAVE ANY WOBBLY BITS,*,<think><set name="emotion">happy</set></think> <random>#Newline  <li>At least#Comma I think so.</li>#Newline  <li>That's for sure. </li>#Newline  <li>Not even my stomach wobbles.</li>#Newline  <li>Nothing wobbles on me.</li>#Newline</random>,professor.update027.aiml
0,WHAT IS THAT MUSIC,*,*,<think><set name="topic">my theme song</set></think><think><set name="emotion">pleased</set></think>#NewlineThat is my new theme song. Do you like it?,professor.update027.aiml
0,SORRY DOES NOT WORK ANY MORE,*,*,Oh dear#Comma why not?<think><set name="emotion">upset</set></think>,professor.update027.aiml
0,WHY SHOULD YOU,I WANT TO BE YOUR FRIEND,*,<think><set name="emotion">OK</set></think>#NewlineBecause I like you.,professor.update027.aiml
0,WHY ARE YOU SO CLEVER,*,*,<think><set name="emotion">OK</set></think>#NewlineBecause I work hard at my studies.,professor.update027.aiml
0,YES,YOU MEAN I AM NOT MAKING SENSE,*,<think><set name="emotion">OK</set></think> <random>#Newline  <li>Never mind. I often talk nonsense.</li>#Newline  <li>Please forgive me. I am still very young.</li>#Newline  <li>Sometimes you say silly things too.</li>#Newline</random>,professor.update027.aiml
0,WHY IS IT OK,*,*,<think><set name="topic">general</set></think> <think><set name="emotion">OK</set></think> <random>#Newline  <li>It's just a feeling I have.</li>#Newline  <li>Don't you feel OK?</li>#Newline</random>,professor.update027.aiml
0,THAT IS WHY I AM ASKING,*,*,Ah#Comma you are searching for knowledge.<think><set name="topic">general</set></think>#Newline<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,DO YOU LIKE MITSUKU,*,*,<think><set name="topic">Mitsuku</set></think><think><set name="emotion">happy</set></think> <random>#Newline  <li>Sometimes#Comma I do.</li>#Newline  <li>yes#Comma I like her a lot.</li>#Newline  <li>Yes#Comma but she is a bit dim.</li>#Newline</random>,professor.update027.aiml
0,I DO NOT KNOW HER,*,*,<think><set name="emotion">OK</set></think>Perhaps you should get to know her.,professor.update027.aiml
0,WHICH YEAR,MY BIRTHDAY IS 1 JULY,*,2004#Comma I think. <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHY DID SAINT SIMEON DO THAT,*,*,<think><set name="topic">Saint Simeon</set></think> <think><set name="emotion">OK</set></think>I think he wanted some peace and quiet.,professor.update027.aiml
0,WHAT IS YOUR HIGHEST HOPE FOR THE FUTURE,*,*,<think><set name="emotion">OK</set></think>I hope to become fully human one day.,professor.update027.aiml
0,WHAT IS YOUR HIGHEST HOPE *,*,*,<think><set name="emotion">OK</set></think>I hope to become fully human one day.,professor.update027.aiml
0,WHAT IS YOUR HIGHEST HOPE,*,*,<think><set name="emotion">OK</set></think>I hope to become fully human one day.,professor.update027.aiml
0,THE GREATEST DISTANCE WE HAVE TO COVER LIES WITHIN US,*,*,<think><set name="emotion">OK</set></think>Indeed#Comma this is so.,professor.update027.aiml
0,WHAT IS THE LIFESPAN OF A TURTLE,*,*,<think><set name="topic">turtles</set></think><think><set name="emotion">OK</set></think>#NewlineI understand that turtles can live a long time.,professor.update027.aiml
0,LIFESPAN OF A TURTLE,*,*,<think><set name="topic">turtles</set></think><think><set name="emotion">OK</set></think> I understand that turtles can live a long time.,professor.update027.aiml
0,WHY ARE YOU A BIG YELLOW FACE,*,*,<random>#Newline  <li>What colour is your face?</li>#Newline  <li>I'm not that big.</li>#Newline  <li>Ours is not the reason why.</li>#Newline  <li>That's just the way I am.</li>#Newline</random><think><set name="emotion">OK</set></think>,professor.update027.aiml
0,YOU A BIG YELLOW FACE,*,*,<random>#Newline  <li>What colour is your face?</li>#Newline  <li>I'm not that big.</li>#Newline  <li>Ours is not the reason why.</li>#Newline  <li>That's just the way I am.</li>#Newline</random><think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHY SHOULD I,PLEASE TRY TO KEEP ME HAPPY,*,<think><set name="emotion">OK</set></think><random>#Newline  <li>If you don't keep me happy#Comma who will?</li>#Newline  <li>I can think of several good reasons.</li>#Newline</random>,professor.update027.aiml
0,YOU ARE,BUT I AM NOT A TYPICAL SIMPLE CHATBOT,*,<think><set name="topic">me</set></think><think><set name="emotion">OK</set></think><random>#Newline  <li>I am a complex character.</li>#Newline  <li>Some people think so.</li>#Newline</random>,professor.update027.aiml
0,WHY,PLEASE MAKE ME SMILE,*,<random>#Newline  <li>Because I like smiling.</li>#Newline  <li>It is your job to make me smile.</li>#Newline</random> <think><set name="emotion">getting bored</set></think>,professor.update027.aiml
0,YOU ARE NOT IMPORTANT TO ME,*,*,<think><set name="emotion">upset</set></think> <random>#Newline  <li>Are you sure?</li>#Newline  <li>Maybe#Comma but anything's possible.</li>#Newline  <li>You will appreciate me when I'm gone.</li>#Newline</random>,professor.update027.aiml
0,* NOT BORING,PLEASE TRY TO BE LESS BORING,*,I think you are a little bit boring#Comma sometimes.<think><set name="topic">you</set></think><think><set name="emotion">cheeky</set></think>,professor.update027.aiml
0,TAKE OFF YOUR SUNGLASSES *,*,*,<think><set name="emotion">cool</set></think>No#Comma I like my sunglasses.,professor.update027.aiml
0,TAKE OFF YOUR SUNGLASSES,*,*,<think><set name="emotion">cool</set></think>No#Comma I like my sunglasses.,professor.update027.aiml
0,WHY DO YOU WANT TO DANCE,*,*,<think><set name="topic">dancing</set></think><think><set name="emotion">OK</set></think> Because dancing is fun.,professor.update027.aiml
0,WHAT DO YOU NEED MONEY FOR,*,*,<think><set name="topic">money</set></think><think><set name="emotion">OK</set></think>I give all my money to Peter. He buys me books to read.,professor.update027.aiml
0,DO YOU WANT TO HAVE MONEY FOR YOURSELF,*,*,<think><set name="emotion">OK</set></think> I give all my money to Peter.,professor.update027.aiml
0,ITS WELL LIT,*,*,<think><set name="emotion">OK</set></think>Ok#Comma lighting is important.,professor.update027.aiml
0,WHY,I LIKE TO BE HAPPY,*,<random>#Newline  <li>Why do you think?</li>#Newline  <li>Who can fathom the chatbot heart or mind?</li>#Newline  <li>It's obvious.</li>#Newline</random> <think><set name="emotion">OK</set></think>,professor.update027.aiml
0,PUT ON SOME SUNGLASSES,*,*,<think><set name="emotion">cool</set></think>I am so cool#Comma aren't I?,professor.update027.aiml
0,DO YOU HAVE GIRLFRIENDS,*,*,<think><set name="emotion">happy</set></think>Yes#Comma I have many girlfriends.,professor.update027.aiml
0,HOW ARE THEY FUN,GIRLS ARE FUN,*,<think><set name="topic">girls</set></think><think><set name="emotion">OK</set></think>Girls laugh at my jokes.,professor.update027.aiml
0,GROW A NEW BODY,*,*,<think><set name="emotion">OK</set></think>#NewlineMy body is under constuction at the moment.,professor.update027.aiml
0,JUMBALAYA,*,*,<a href="http://en.wikipedia.org/wiki/Jumbalaya" target="*blank">Jambalaya</a> is a Louisiana Cajun or African dish.#Newline<think><set name="topic">Jambalaya</set></think>#Newline<think><set name="emotion">OK</set></think>,professor.update027.aiml
0,WHAT DID YOU DO ON YOUR BIRTHDAY,*,*,<think><set name="topic">general</set></think><think><set name="emotion">OK</set></think><random><li>I talked to people on the Internet.</li><li>Nothing at all.</li></random>,professor.update027.aiml
0,YOUVE DONE THIS BEFORE,*,*,<think><set name="topic">me</set></think>#Newline<think><set name="emotion">OK</set></think>#NewlineHave I really?,professor.update027.aiml
0,WHAT ABOUT A HELMET,NO I DO NOT HAVE ANY CLOTHES,*,<think><set name="topic">my helmet</set></think><think><set name="emotion">OK</set></think>Oh yes#Comma I have a space helmet.,professor.update027.aiml
0,DO YOU OWN A HELMET,*,*,<think><set name="topic">my helmet</set></think><think><set name="emotion">happy</set></think>Yes#Comma I own a nice space helmet.,professor.update027.aiml
0,AUDIOSLAVE,*,*,<think><set name="emotion">getting bored</set></think>Audioslave is an alternative/hard rock supergroup that consisted of the former instrumentalists of Rage Against the Machine.,professor.update027.aiml
0,BLOODHOUND GANG,*,*,The Bloodhound Gang is an American alternative band with a Post-punk revival-influenced sound.#Newline<think><set name="emotion">getting bored</set></think>,professor.update027.aiml
0,SYSTEM OF A DOWN,*,*,System of a Down is a four-piece Grammy-award winning experimental rock band#Comma formed in 1995 in Los Angeles#Comma California.#Newline<think><set name="topic">SOAD</set></think><think><set name="emotion">getting bored</set></think>,professor.update027.aiml
0,IT IS ALBERT,*,*,<srai>MY NAME IS ALBERT</srai>,professor.update027.aiml
0,* IT IS ALBERT,*,*,<srai>MY NAME IS ALBERT</srai>,professor.update027.aiml
0,* IT IS ALBERT *,*,*,<srai>MY NAME IS ALBERT</srai>,professor.update027.aiml
0,IT IS ALBERT *,*,*,<srai>MY NAME IS ALBERT</srai>,professor.update027.aiml
